SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,
seq_600_63,179700,2757400,37205360,844400,4774,459900,2706,100100,2418,215600,
seq_600_64,179700,2416500,37295170,722800,4791,278300,2815,69000,3176,77800,
seq_600_65,179700,2593000,37387573,476800,4795,539000,3080,73100,3124,77100,
seq_600_66,179700,1709400,37478280,433900,4784,280600,2570,67500,3429,78600,
seq_600_67,179700,1733400,37564568,408400,4773,334500,2851,69000,2824,77300,
seq_600_68,179700,2434400,37654783,429400,4780,280000,2616,69300,2897,77300,
seq_600_69,179700,2329400,37744338,803700,4783,419000,3144,97200,3833,124600,
seq_600_70,179700,2670100,37832620,423800,4776,274100,3053,69500,3412,79500,
seq_600_71,179700,1753500,37925354,437700,4799,280800,3167,68600,2628,74900,
seq_600_72,179700,2914100,38018447,861300,4795,272100,2711,70600,2903,80800,
seq_600_73,179700,2264600,38106959,859100,4808,360200,3192,70100,2997,78800,
seq_600_74,179700,2000100,38198224,925500,4785,282800,2242,65600,2732,94600,
seq_600_75,179700,1752800,38287203,592600,4823,319400,2821,68700,3213,79000,
seq_600_76,179700,1570800,38382905,477700,4790,285600,3209,70400,2286,75300,
seq_600_77,179700,1644200,38469052,404600,4810,276100,2909,69300,2213,76000,
seq_600_78,179700,1681500,38560044,429500,4782,415100,3395,80900,2980,79800,
seq_600_79,179700,1809800,38648103,443500,4775,280900,2801,68400,3034,79300,
seq_600_80,179700,1673400,38738964,430700,4795,274900,2940,67800,2807,76500,
seq_600_81,179700,2918100,38832720,443500,4810,304400,3069,71300,3140,78300,
seq_600_82,179700,1722900,38926216,440600,4787,276900,2898,74700,3042,76800,
seq_600_83,179700,2810800,39017665,574200,4784,616900,3015,71300,2969,84000,
seq_600_84,179700,1721400,39108085,428000,4785,281100,2940,69700,2858,79700,
seq_600_85,179700,1688100,39192379,1239400,4803,418100,2570,95400,2738,83300,
seq_600_86,179700,1707700,39283175,427700,4795,333300,2418,66900,3080,78100,
seq_600_87,179700,1711100,39370913,415500,4808,317400,2551,68600,2362,75600,
seq_600_88,179700,1625200,39460253,422800,4774,390700,2772,69100,4052,82900,
seq_600_89,179700,1626900,39553113,437500,4785,338500,3228,69900,2841,78400,
seq_600_90,179700,1722800,39640075,418600,4796,327600,2960,71300,3054,93700,
seq_600_91,179700,1671500,39732358,460700,4818,315600,2688,68700,2970,77900,
seq_600_92,179700,1803400,39826369,445200,4790,276000,2971,70700,2951,77000,
seq_600_93,179700,1699500,39915136,430900,4812,276200,2747,70000,2983,77600,
seq_600_94,179700,3400600,40009186,563600,4770,303200,2453,68900,2575,77600,
seq_600_95,179700,1670300,40101909,438200,4797,276600,3121,73700,3166,79200,
seq_600_96,179700,1664200,40195244,1445300,4800,427000,3092,77600,3129,100200,
seq_600_97,179700,1718000,40283843,444900,4796,276700,3092,68300,3131,77800,
seq_600_98,179700,1736700,40379404,452500,4788,275100,3005,69500,2642,77400,
seq_600_99,179700,1730100,40468222,431200,4769,278400,2820,69100,2317,76900,
seq_650_0,210925,1892000,40568948,576900,5287,300200,3087,78200,2763,82900,
seq_650_1,210925,2054900,40673840,494100,5270,299500,2958,75800,2744,85000,
seq_650_2,210925,1875300,40780837,573700,5273,299200,3469,77000,3212,85300,
seq_650_3,210925,2769100,40884114,611900,5272,299100,3239,74800,3156,83800,
